FM;MI;MP;Temp;Prec
512;528;16;24;125
378;193;5;22.1;230.8
225;76;5;21.2;285.2
100;30;0;20.7;189.8
77;16;0;18.3;99
27;4;0;17.6;24.9
81;61;1;18.1;16.6
121;91;2;18.9;1.5
197;176;17;22.74;124.4
339;496;36;25.52;72.8
421;703;30;24.06;237.4
344;188;4;24.36;418.4
190;19;3;23.91;318.6
87;15;0;24.34;235
45;31;2;23.6;209.4
32;12;0;22.41;17.8
21;13;0;19.8;64.2
185;200;2;17.6;99.4
209;186;1;18.49;0
351;383;11;20.01;46.4
432;788;65;22.34;10
458;797;53;23.47;146.8
331;189;65;22.94;208
199;70;26;23.87;155.6
117;55;8;23.69;351
79;21;2;23.6;162.8
17;3;0;23.58;165.6
15;5;0;22.25;107.8
26;20;0;20.46;98.6
73;54;0;18.3;36.6
68;47;0;16.04;3.6
47;35;0;20.37;22.6
111;97;0;22.08;21.2
216;268;1;25.16;40.8
365;696;23;23.84;40.6
306;379;15;23.79;230.6
166;43;13;23.55;317.4
41;0;2;23.36;188.2
15;0;0;24.11;139.6
18;10;1;21.53;57.4
42;31;0;19.26;30.8
123;109;5;19.7;23
254;273;20;18.3;0.6
187;117;18;19.67;67.8
283;277;51;22.1;58.8
232;208;44;23.89;279.2
121;63;5;22.77;242.8
89;66;0;24.11;176
93;61;6;24.58;178
39;1;1;23.73;234.2
29;22;0;23.38;277.4
15;1;0;22.83;139
28;16;0;20.81;50.4
5;4;0;18.43;9.4
19;13;0;17.55;13.8
33;23;0;20.02;40.8
82;77;4;24.02;68
162;145;14;24.67;121.6
276;248;60;23.97;311.8
152;116;3;23.98;197.8
